POST_ID,TEXTO,LIKES
2584499098476625,"Prepárate para celebrar este #DíaDelPadre en grande. ¡Aquí encuentras todo lo que necesitas!
*Válido al 18 de junio de 2020.",2589
2583910678535467,"Lo que más me gusta de hacer mis compras aquí, es que siempre encuentro #PrecioDespensa.
*Válido al 17 de junio de 2020.",1595
2554421571484378,"Tu seguridad es muy importante para nosotros, por eso hemos tomado estrictas medidas de prevención para ingresar a nuestras tiendas.",18
2554417011484834,¡Prevenir es responsabilidad de todos! Cuando nos visites respeta la señalización de seguridad.,15
2554415248151677,Llevamos un minucioso control de limpieza e higiene para que puedas hacer tus compras sin preocuparte.,25
2554412051485330,Nos caracterizarnos por adaptarnos y regirnos bajo las normas de higiene necesarias que la situación exige.,34
2554406541485881,Para nosotros es de suma importancia que nuestros espacios sean adecuados y seguros para tus visitas.,23
2554377054822163,"Cuidamos de ti y a nuestros asociados, por eso instalamos barreras de seguridad en todas las cajas.",27
2554372304822638,Durante el día todos nuestros asociados mantienen un lavado y desinfección de manos constante.,20
2554364414823427,Capacitamos a nuestro equipo de asociados para que sigan las medidas de higiene necesarias para su protección y la tuya.,24
2554344651492070,"Procuramos que los alimentos que lleves a tu hogar, sean de calidad e higiene para ti y tus seres queridos.",43
2554335538159648,Es importante que conozcas las acciones necesarias para proteger tu salud e higiene personal en espacios públicos.,31
